"Question #","Question Text","Answer 1","Answer 2","Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)"
"1","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 20,000 + 100 + 60 + 7?","20,067","23,167","20,167","20,207","30","3"
"2","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 90,000 + 3,000 + 800 + 90 + 2?","93,892","93,692","99,892","93,902","30","1"
"3","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 60,000 + 5,000 + 800 + 6?","65,816","71,806","65,806","65,406","30","3"
"4","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 80,000 + 5,000 + 80 + 8?","85,088","84,888","85,128","87,088","30","1"
"5","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 70,000 + 200 + 30?","70,230","70,260","70,030","72,230","30","1"
"6","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 80,000 + 6,000 + 200 + 90 + 4?","86,294","85,894","91,294","86,334","30","1"
"7","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 30,000 + 800 + 5?","30,805","35,805","30,845","30,705","30","1"
"8","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 90,000 + 8,000 + 400 + 40 + 9?","98,349","104,449","98,449","98,489","30","3"
"9","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 30,000 + 4,000 + 400 + 7?","34,207","35,407","34,407","34,417","30","3"
"10","Concept: Expanded notation shows a number as the sum of each digit's place value. Question: Which number is written as 50,000 + 6,000 + 500 + 9?","56,549","56,309","56,509","62,509","30","3"
"11","Concept: The value of a digit depends on its place. Question: In 87,962, what is the value of the digit 8?","88,000","8","80,000","8,000","30","3"
"12","Concept: The value of a digit depends on its place. Question: In 65,849, what is the value of the digit 5?","5","5,000","500","50,000","30","2"
"13","Concept: The value of a digit depends on its place. Question: In 95,631, what is the value of the digit 6?","600","60","6","6,000","30","1"
"14","Concept: The value of a digit depends on its place. Question: In 16,324, what is the value of the digit 3?","30","3","300","3,000","30","3"
"15","Concept: The value of a digit depends on its place. Question: In 46,159, what is the value of the digit 5?","55","5","50","500","30","3"
"16","Concept: The value of a digit depends on its place. Question: In 19,263, what is the value of the digit 9?","900","9","9,000","90,000","30","3"
"17","Concept: The value of a digit depends on its place. Question: In 49,752, what is the value of the digit 7?","7,000","70","700","7","30","3"
"18","Concept: The value of a digit depends on its place. Question: In 41,689, what is the value of the digit 4?","40,000","4,000","4","44,000","30","1"
"19","Concept: The value of a digit depends on its place. Question: In 17,523, what is the value of the digit 7?","700","70,000","7","7,000","30","4"
"20","Concept: The value of a digit depends on its place. Question: In 97,286, what is the value of the digit 8?","800","88","8","80","30","4"
"21","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is greatest?","2,642","4,517","8,257","1,034","25","1"
"22","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is greatest?","6,035","7,914","5,855","4,508","25","1"
