"Question #","Question Text","Answer 1","Answer 2","Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)"
"1","Concept: Use context clues to figure out a word's meaning. Question: In the sentence ""A cactus can survive with little water,"" what does survive mean?","share","stay alive","play","dance","35","2"
"2","Concept: Context clues can explain describing words. Question: In the sentence ""The sly fox slipped past the hens,"" what does sly mean?","sleepy","tricky","noisy","hungry","35","2"
"3","Concept: Context clues can explain action words. Question: In the sentence ""Kai snatched the hat before the wind blew it away,"" what does snatched mean?","grabbed quickly","lost forever","folded neatly","washed carefully","35","1"
"4","Concept: Context clues help readers picture actions. Question: In the sentence ""Mina cradled the puppy in her arms,"" what does cradled mean?","covered with mud","called loudly","pushed aside","held gently","35","4"
"5","Concept: Word meaning questions ask what a word means in context. Question: An expert is a person who -","learns only by watching","enjoys working with machines","is highly skilled","is willing to help","35","3"
"6","Concept: The suffix -less means without. Question: What does cloudless mean?","close","without clouds","dark","scary","35","2"
"7","Concept: The prefix dis- often means not. Question: What does disbelief mean?","believing more","not being able to believe","helping others believe","believing again","35","2"
"8","Concept: The suffix -ful means full of. Question: What does joyful mean?","full of joy","feeling sleepy","ready to leave","without joy","35","1"
"9","Concept: The prefix pre- means before. Question: What does preview mean?","to view before","to view again","to view alone","to view slowly","35","1"
"10","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for floating?","drifting","crashing","sinking","hiding","35","1"
"11","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of fancy?","plain","quick","sour","small","35","1"
"12","Concept: Synonyms connect familiar words to new words. Question: Which word is a synonym for create?","break","hide","lose","build","35","4"
"13","Concept: A synonym matches a word's meaning. Question: Which word is a synonym for special?","open","unique","tiny","busy","35","2"
"14","Concept: Some words have more than one meaning. Question: Read this entry: pass 1. ignore 2. move by 3. throw a ball to a teammate 4. complete a class. In the sentence ""The car passed our house,"" which meaning matches passed?","Meaning 3","Meaning 2","Meaning 4","Meaning 1","40","2"
"15","Concept: Multiple-meaning words change with context. Question: In the sentence ""Ms. Lee will judge the art contest,"" what does judge mean?","to borrow something","to draw a picture","to run quickly","to decide","35","4"
"16","Concept: A folktale is passed down over time and often teaches a lesson. Question: Which idea best shows that a story is a folktale?","It explains how to build a kite.","It teaches a lesson.","It lists facts in order.","It gives steps for a recipe.","35","2"
